,Country,YEAR1,GDPG,GDP,BB,INFL,SACW,GOVC,ETHNF,ASSAS,ICRGE,M2-1,SSA,EASIA,LPOP,EGYPT,CENTAM,FRZ,ARMS-1,DN1900,EDA,BEDA,MEDA,WBEDA,POPDEP
1053,"TAIWAN, CHINA",1978-81,6.4865244514290765,,,11.862372126296005,1.0,15.649520422263574,,,,,0,0,,,,,,0,,,,,
1054,"TAIWAN, CHINA",1982-85,5.02693638053846,,,1.0186526367502502,1.0,16.273262303809204,,,,,0,0,,,,,,0,,,,,
1055,"TAIWAN, CHINA",1986-89,8.425851792528993,,,1.7020996199837102,1.0,14.97557675145531,,,,,0,0,,,,,,0,,,,,
1056,"TAIWAN, CHINA",1990-93,5.231093546003818,,,3.7168864046504435,1.0,16.89229307075711,,,,,0,0,,,,,,0,,,,,
1057,TAJIKISTAN,1966-69,2.5058922775107906,,,,,,,,,,0,0,,,,,,0,,,,,
1058,TAJIKISTAN,1970-73,3.453443821667035,,,,,,,,,,0,0,,,,,,0,,,,,
1059,TAJIKISTAN,1974-77,1.8437049134353067,,,,,,,,,,0,0,,,,,,0,,,,,
1060,TAJIKISTAN,1978-81,2.3324537823365743,,,,,,,,,,0,0,,,,,,0,,,,,
1061,TAJIKISTAN,1982-85,0.39002862472976574,,,,,,,,,,0,0,,,,,,0,,,,,
1062,TAJIKISTAN,1986-89,-0.6248681283720803,,,,,22.10033186529413,,,,,0,0,,,,,,0,,,,,
1063,TAJIKISTAN,1990-93,-22.78192346153527,,,,,19.90968651726951,,,,,0,0,,,,,,0,,,,,
1064,TANZANIA,1966-69,,384.0,,12.63090289998529,0.0,,,,,,1,0,,,,,,0,,,,,
1065,TANZANIA,1970-73,,424.0,,6.336781022315607,0.0,,93.0,0.25,4.639063,21.821615437487758,1,0,16.477834396659503,0.0,0.0,0.0,1.6666666666666667,0,3.289309195256403,3.054365359490581,0.23494383576582162,0.014722152174264747,97.7928
1066,TANZANIA,1974-77,,508.0,,14.666748813826459,0.0,,93.0,0.0,4.639063,26.61767765647786,1,0,16.598326491039256,0.0,0.0,0.0,3.925,0,4.863246247189499,4.058485427085058,0.8047608201044415,0.3088153696367905,100.29005
1067,TANZANIA,1978-81,,543.0,-10.69523951394948,16.94131311077079,0.0,12.342804132967641,93.0,0.0,4.639063,28.616800376499967,1,0,16.722874625361207,0.0,0.0,0.0,4.4,0,6.812280102086442,5.625047433683372,1.1872326684030698,0.3805281845244145,99.780675
1068,TANZANIA,1982-85,-0.15449116791836914,466.0,-9.094110920990616,27.235739520355416,0.0,14.295882791839881,93.0,0.0,4.639063,37.74897801398704,1,0,16.850030758725527,0.0,0.0,0.0,11.45,0,5.691178297563694,4.382629586556409,1.3085487110072846,0.530615984411754,98.54885
1069,TANZANIA,1986-89,0.6693089440576117,540.0,-5.659807814795814,26.106157329617872,0.0,12.344613918408765,93.0,0.0,4.639063,38.21693735526101,1,0,16.97833970372757,0.0,0.0,0.0,6.175,0,6.02334941156814,4.538738743599585,1.4846106679685545,0.5811417314858434,96.59279999999998
1070,TANZANIA,1990-93,0.2476215254649805,,-5.5331096023858395,24.53606655455407,0.0,7.565990724481889,93.0,0.0,4.639063,27.61726359470171,1,0,17.10344685203465,0.0,0.0,0.0,6.35,0,5.61053165111912,3.956286762073244,1.654244889045876,0.7646429622708196,94.7947
1071,THAILAND,1966-69,5.191648992079223,1226.0,-1.554509754306224,3.0926083642646374,1.0,9.963388527379868,,,,,0,1,,,,,,0,,,,,
1072,THAILAND,1970-73,4.458099191140397,1526.0,-3.920243138979175,4.884572950584243,1.0,10.882075910505103,66.0,0.0,6.258854,27.08472898093037,0,1,17.436216224693126,0.0,0.0,0.0,5.0,0,0.25559062627657936,0.23152877661755117,0.024061849659028186,-0.0015133642458555626,95.36725
1073,THAILAND,1974-77,4.050999552656442,1641.0,-2.09900690267537,9.587064293277747,1.0,10.316685667074715,66.0,0.25,6.258854,32.12704234628913,0,1,17.54919904777592,0.0,0.0,0.0,3.85,0,0.18351685416162347,0.1476709144393172,0.035845939722306264,0.003503996898189303,89.7395
1074,THAILAND,1978-81,4.126067251420684,2025.0,-3.8707254948680587,11.742839542695771,1.0,12.046539254264864,66.0,0.0,6.258854,34.859879479184706,0,1,17.64585105364472,0.0,0.0,0.0,2.175,0,0.2738223219891725,0.17351664422091964,0.10030567776825293,0.012122704288893869,79.8723
1075,THAILAND,1982-85,3.4910292392828612,2195.0,-4.743062034732744,3.0120230664314906,1.0,13.165172300124514,66.0,0.0,6.258854,37.54693655640091,0,1,17.71835002347992,0.0,0.0,0.0,2.825,0,0.28064379871271167,0.22585708674392255,0.05478671196878912,-0.012267031078282295,67.2526
1076,THAILAND,1986-89,7.965737975841147,2510.0,-0.7068519066149346,3.3171077059538367,1.0,10.912032502569586,66.0,0.0,6.258854,50.57870787506876,0,1,17.785246656702597,0.0,0.0,0.0,2.625,0,0.2718888729561346,0.22927214481781033,0.04261672813832433,-0.00739942870263868,
1077,THAILAND,1990-93,7.009495116810882,3580.0,3.5392245821337522,4.74888377038607,1.0,8.877875030858306,66.0,0.0,6.258854,61.94365810884728,0,1,17.85214478936238,0.0,0.0,0.0,2.2,0,0.1923186451640573,0.1651008392582749,0.027217805905782426,-0.0036053196704221944,58.4792
1078,TOGO,1966-69,3.1237709204036346,493.0,,1.2640601079266864,0.0,10.228912788507813,,,,,1,0,,,,,,0,,,,,
1079,TOGO,1970-73,0.2723667921699757,618.0,,5.416818114865485,0.0,18.34647892941791,71.0,0.0,4.346354,13.528077811840939,1,0,14.555969429337969,0.0,0.0,1.0,0.0,0,4.641480418235134,2.7253373854051204,1.916143032830014,0.0,88.403
1080,TOGO,1974-77,0.25244737374214843,621.0,-20.535078534031413,14.976296531100752,0.0,19.007148294467065,71.0,0.0,4.346354,16.982307758273087,1,0,14.656380302210888,0.0,0.0,1.0,0.0,0,4.265307927221492,2.570195479329828,1.6951124478916644,0.20566203946526443,89.9076
1081,TOGO,1978-81,1.127875592669847,704.0,-12.177743122329034,9.3281121328888,0.0,21.433564421280472,71.0,0.0,4.346354,26.020361283444217,1,0,14.76435172917277,0.0,0.0,1.0,5.0,0,4.3321875720687935,2.368728848590306,1.9634587234784884,0.35988801665798015,91.085875
1082,TOGO,1982-85,-2.2750868463403684,654.0,-1.9961710975150333,3.5186565612957743,0.0,16.51669304957472,71.0,0.0,4.346354,33.762352131743825,1,0,14.879959191645113,0.0,0.0,1.0,3.325,0,6.445030106259796,3.9614501272714584,2.4835799789883377,1.2187964673082177,92.2029
1083,TOGO,1986-89,-0.061090336644298304,657.0,-3.5144401950204305,0.7754786304642991,0.0,13.63541865882832,71.0,0.0,4.346354,42.16695288846199,1,0,15.000842444947645,0.0,0.0,1.0,0.325,0,6.394960977642008,3.740568918003437,2.654392059638571,1.3288280778355275,93.34065
1084,TOGO,1990-93,-7.658098773249478,641.0,,0.44207605880701717,0.0,15.221275850395436,71.0,0.5,4.346354,39.57404072877092,1,0,15.125404995492138,0.0,0.0,1.0,1.625,0,6.743053983173689,4.1709905408094965,2.5720634423641906,0.8330620540224728,94.552425
1085,TONGA,1966-69,,,,,,,,,,,0,0,,,,,,0,,,,,
1086,TONGA,1970-73,,,,,,,,,,,0,0,,,,,,0,0.0,,,,
1087,TONGA,1974-77,,,,11.513636793698968,,15.818289621851884,,,,,0,0,,,,,,0,0.0,,,,
1088,TONGA,1978-81,,,,12.14105760115597,,14.605849625441522,,,,,0,0,,,,,,0,0.0,,,,
1089,TONGA,1982-85,4.1306233779189405,,-0.7803440533988898,8.814237230975873,,16.671486831925606,,,,,0,0,,,,,,0,1.840456809220483,5.8331963195647125,1.52863091731722,0.0,
1090,TONGA,1986-89,-0.572515130095641,,-2.5495569858621954,9.412929823914018,,,,,,,0,0,,,,,,0,9.29154218673995,7.183575781198051,2.1079664055418985,0.1336529417431792,
1091,TONGA,1990-93,1.649832146219173,,-3.646704174456281,6.983697189433746,,,,,,,0,0,,,,,,0,10.444275313955146,8.486162615847896,1.9581126981072494,0.14823825961221354,
1092,TRINIDAD AND TOBAGO,1966-69,1.923262635538947,6472.0,-1.1754168839769137,4.110727594822439,0.0,12.007015101866719,,,,,0,0,,,,,,1,,,,,
1093,TRINIDAD AND TOBAGO,1970-73,1.9184122209845889,6795.0,-1.0486018686679324,7.166935294730892,0.0,14.800440687101588,56.0,0.0,6.088542,24.51195049028683,0,0,13.79853172999138,0.0,0.0,0.0,0.0,1,0.08014030090587644,0.045631083529311015,0.034509217376565426,-0.0009198669234004828,83.6927
1094,TRINIDAD AND TOBAGO,1974-77,4.510417490985796,7918.0,9.41205151254405,14.212891531122285,0.0,12.1664905780375,56.0,0.0,6.088542,32.68891782685007,0,0,13.835492090824527,0.0,0.0,0.0,0.0,1,0.04397140905304511,0.024383352562636768,0.019588056490408342,-0.003925196302745814,74.582025
1095,TRINIDAD AND TOBAGO,1978-81,5.544555559155739,10249.0,3.403858104394052,13.248362270288583,0.0,12.990574704027285,56.0,0.0,6.088542,28.424237373143267,0,0,13.887884706485542,0.0,0.0,0.0,0.0,1,0.056976159529217786,0.025127521366351758,0.03184863816286604,-0.002163078625049128,67.4693
1096,TRINIDAD AND TOBAGO,1982-85,-4.524547903758469,11368.0,-9.663288283235245,11.24956671038696,0.0,22.18924506950585,56.0,0.0,6.088542,32.76863210186761,0,0,13.943169114194859,0.0,0.0,0.0,0.15,1,0.07139766369966018,0.026989058083264687,0.04440860561639549,0.00021087922983664022,66.56470000000002
1097,TRINIDAD AND TOBAGO,1986-89,-4.478558045703718,9637.0,-5.3211767736294755,8.980244726793485,0.0,20.42771656581934,56.0,0.0,6.088542,43.121649940973064,0,0,13.995761221939134,0.0,0.0,0.0,0.0,1,0.07885883755679557,0.041270441673200355,0.0375883958835952,0.0,65.97775
1098,TRINIDAD AND TOBAGO,1990-93,-0.9493481979187646,7764.0,,7.683971558155367,0.0,12.450449549085732,56.0,0.0,6.088542,48.93465950848572,0,0,14.044085333442343,0.0,0.0,0.0,0.0,1,0.044664896763635525,0.033265936482538234,0.011398960281097293,-0.00467684937928171,64.00274999999999
1099,TUNISIA,1966-69,2.284915558109879,1245.0,,,0.0,16.983820640786284,,,,,0,0,,,,,,0,,,,,
